Jogo,PC,PS3,PS4,PS5,PSP,Vita,X360,XONE,XSX,NDS,WIIU,Avg_Score,
Assassin's Creed,0.79,0.81,,,,,0.81,,,,,0.80,
Assassin's Creed: Altaïr's Chronicles,,,,,,,,,,0.58,,0.58,
Assassin's Creed: Bloodlines,,,,,0.63,,,,,,,0.63,
Assassin's Creed II,0.86,0.91,,,,,0.90,,,,,0.89,
Assassin's Creed II: Discovery,,,,,,,,,,0.69,,0.69,
Assassin's Creed: Brotherhood,0.88,0.90,,,,,0.89,,,,,0.89,
Assassin's Creed: Revelations,0.80,0.80,,,,,0.80,,,,,0.80,
Assassin's Creed III,0.80,0.85,,,,,0.84,,,,0.85,0.84,
Assassin's Creed III: Liberation,0.66,0.64,,,,0.70,0.62,,,,,0.66,
Assassin's Creed IV: Black Flag,0.84,0.88,0.83,,,,0.86,,,,0.86,0.85,
Assassin's Creed Rogue,0.75,0.72,,,,,0.72,,,,,0.73,
Assassin's Creed Unity,0.70,,0.70,,,,,0.72,,,,0.71,
Assassin's Creed Syndicate,,,0.77,,,,,,,,,0.77,
Assassin's Creed Origins,0.84,,0.81,,,,,0.85,,,,0.83,
Assassin's Creed Odyssey,0.86,,0.83,,,,,0.87,,,,0.85,
Assassin's Creed Valhalla,0.85,,0.81,0.84,,,,0.82,0.85,,,0.83,
