País(es) e Período histórico,Ano(s),Título,Ano,Consoles,Computadores,Portáteis,Celular,Outros
Ayyubid Sultanate during the Third Crusade,1191 AD (587 AH – 588 AH),Assassin's Creed,2007,"PlayStation 3, Xbox 360",Windows,—,—,Xbox One
Ayyubid Sultanate during the Third Crusade,1190 AD (586 AH – 587 AH),Assassin's Creed: Altaïr's Chronicles,2008,—,—,Nintendo DS,"Android, iOS, Symbian, webOS, Windows Phone",—
Cyprus,1191 A.D. (Islamic calendar|587 AH – 588 AH),Assassin's Creed: Bloodlines,2009,—,—,PlayStation Portable,—,—
Renaissance Italy,1476-1499 DC,Assassin's Creed II,2009,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One","OS X, Windows",—,Symbian,OnLive
Renaissance Spain,1491 AD,Assassin's Creed II: Discovery,2009,—,—,Nintendo DS,iOS,—
Renaissance Italy and Kingdom of Navarre,1499-1507 AD,Assassin's Creed: Brotherhood,2010,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One","OS X, Windows",—,—,OnLive
Ottoman Empire,1511-1512 AD (917 AH – 918 AH),Assassin's Creed: Revelations,2011,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One",Windows,—,"Android, Symbian",OnLive
Colonies of New England and Province of New York during the American Revolution,1754-1783 AD,Assassin's Creed III,2012,"PlayStation 3, Xbox 360, Wii U",Windows,—,Symbian,"PlayStation 4, Xbox One, Nintendo Switch"
Spanish Louisiana,1765-1777 AD,Assassin's Creed III: Liberation,2012,"PlayStation 3, Xbox 360",Windows,PlayStation Vita,—,"PlayStation 4, Xbox One, Nintendo Switch"
"Spanish, British, and French colonies in the Caribbean during the Golden Age of Piracy",1715-1722 AD,Assassin's Creed IV: Black Flag,2013,"PlayStation 3, Xbox 360, Wii U, PlayStation 4, Xbox One",Windows,—,—,—
"Spanish, British, and French colonies in the Caribbean during the Golden Age of Piracy",1716-1718 AD,Assassin's Creed: Pirates,2013,—,Windows,—,"Android, iOS",—
"Spanish, British, and French colonies in the Caribbean during the Golden Age of Piracy",1735-1737 AD,Assassin's Creed: Freedom Cry,2014,"PlayStation 3, Xbox 360",Windows,—,—,—
Thirteen British Colonies and New France during the Seven Years' War,1752-1776 AD,Assassin's Creed Rogue,2014,"PlayStation 3, Xbox 360",Windows,—,—,"PlayStation 4, Xbox One"
Italian Renaissance,1501-1506 DC,Assassin's Creed Identity,2014,—,—,—,"Android, iOS",—
France in the midst of the French Revolution,1776-1800 AD,Assassin's Creed Unity,2014,"PlayStation 4, Xbox One",Windows,—,—,—
China under the Ming Dynasty,1526-1532 AD (4222-4229 Chinese calendar),Assassin's Creed Chronicles: China,2015,"PlayStation 4, Xbox One",Windows,PlayStation Vita,—,—
Victorian England in the midst of the Industrial Revolution,1868 A.D.,Assassin's Creed Syndicate,2015,"PlayStation 4, Xbox One",Windows,—,—,—
Indian Sikh Empire,1841 AD (1763 – 1764 in the Shaka Samvat calendar),Assassin's Creed Chronicles: India,2016,"PlayStation 4, Xbox One",Windows,PlayStation Vita,—,—
Russia in the midst of the Russian Revolution,1918 AD,Assassin's Creed Chronicles: Russia,2016,"PlayStation 4, Xbox One",Windows,PlayStation Vita,—,—
Ancient Egypt,"49-43 BC (275-281 of the XXXIII dynasty, from the 3rd to the 9th year of Cleopatra's reign)",Assassin's Creed Origins,2017,"PlayStation 4, Xbox One",Windows,—,—,—
City-states of Ancient Greece,431-404 BC (2nd year of the 87th Olympiad to the 1st year of the 94th Olympiad),Assassin's Creed Odyssey,2018,"PlayStation 4, Xbox One",Windows,—,—,Stadia
Present-day Norway and Great Britain - Viking expansions,873 AD (1093 of the runic calendar),Assassin's Creed Valhalla,2020,"PlayStation 4,PlayStation 5, Xbox One, Xbox Series X",Windows,—,—,—
City of Baghdad Islamic Golden Age (Abbasid Caliphate),"861 AD (247 AH ""Year Hegirae"")",Assassin's Creed Mirage,2023,"PlayStation 4,PlayStation 5, Xbox One, Xbox Series X",Windows,—,—,—
